,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
65, ľ C)Wavelength,Refractive Indices,Frequency,Wavelength,Range,None of these,Wave meter _____.. of a radiowave, :A wavemeter (or wavelength meter) is a kind of interferometer which is used for precise wavelength measurements on laser beams.,11.1
66, ľ B)Calipers,Dynamo,Calipers,Calorimeter,Quadrant,None of these,_____.. is used to measure inner and outer diameter of solids, :A caliper  is a device used to measure the distance between two opposite sides of an object and also used to measure inner and outer diameter of solids,11.1
67, ľ D)Both 1 and 3,Force of wind,Direction of wind,Velocity of wind,Both 1 and 3,None of these,Anemometer measures _____.. of wind," :An anemometer is a device used for measuring Force and direction of wind. The term is derived from the Greek word anemos, which means wind, and is used to describe any wind speed measurement instrument used in meteorology .",11.1
68, ľ A)Sextant,Sextant,Radar,Theodolite,Chronometer,None of these,Which is used to find the latitude of a place by navigators ?, :A sextant is a doubly reflecting navigation instrument used to measure the latitude between any two visible objects. The principle of the instrument was first implemented around 1730 by John Hadley and Thomas Godfrey but it was also found later in the unpublished writings of Isaac Newton.,11.1
69, ľ B)Longitude,Altitude,Longitude,Depth,Pressure,None of these,_____. of a vessel at sea is measured by Chronometer," :Longitude by chronometer is a method, in navigation, of determining longitude using a marine chronometer, which was developed by John Harrison during the first half of the eighteenth century",11.1
70, ľ C)Electricity,Electric current of high magnitude,Electric current of low magnitude,Electricity,electric power,None of these,Electrometer measures _____, :An electrometer is an electrical instrument for measuring electric charge or electrical potential difference.,11.1
71, ľ D)Periscope,Stroboscope,Microscope,Telesope,Periscope,None of these,Which of the following is used to view the objects above the sea level ?, :Periscope is used to view the objects above the sea level,11.1
72, ľ B)2 dimensional,1 dimensional,2 dimensional,3 dimensional,All of these,None of these,Stereoscope used to view the _____ pictures," :Stereoscope is a device by which two photographs of the same object taken at slightly different angles are viewed together, creating an impression of depth and solidity.",11.1
73, ľ A)Spectrometer,Spectrometer,Speedometer,Tachometer,Telescope,None of these,_____.. is an instrument for measuring the energy distribution of particular type of radiation," :Spectrometer is an instrument for measuring the energy distribution of particular type of radiation.An apparatus used for recording and measuring spectra, especially as a method of analysis.",11.1
74, ľ D)All of these,Rain Gauge,Anombrometer,Pluviometer,All of these,None of these,Udometer is also known as _____.," :A rain gauge (also known as an udometer, pluviometer, or an ombrometer) is a type of instrument used by meteorologists and hydrologists to gather and measure the amount of liquid precipitation over a set period of time.",11.1
75, ľ A)Stroboscope,Stroboscope,Stereoscope,Telescope,Microscope,None of these,Which of the following is used to view rapidly moving objects ?," :A stroboscope also known as a strobe, is an instrument used to make a cyclically moving object appear to be slow-moving, or stationary. It consists of either a rotating disk with slots or holes or a lamp such as a flashtube which produces brief repetitive flashes of light.",11.1
76, ľ B)Water,Glycerne,Water,Ice,Parafin,None of these,Which of the following has the highest specific heat Capacity ?," :Specific heat Capacity of Water is  2200 J/KgoC, Paraffin ľ 2200 J/KgoC, Ice ľ 2108 J/KgoC, Glycerine ľ 2436 J/KgoC",11.1
77, ľ C)6720,2750,1000,6720,5100,None of these,_____ is the boiling point of Water in Rankine Scale ?," :The boiling point of Water in Ranking Scale is 6720 Rankine temperature scale, temperature scale having an absolute zero, below which temperatures do not exist, and using a degree of the same size as that used by the Fahrenheit temperature scale.",11.1
78, ľ A)25,25,20,15,12,None of these,What is the nearest distance of distinct vision for the human eye in cm ?, :This distance is about 25 cm from the eye.,11.1
79, ľ A)800/7,800/7,780/6,540/2,860/6,None of these,_____.. is the temperature at which the Celsius and the Fahrenheit readings are numerically equal but opposite in signs ?," :X0 F = ľ X0 C, X ľ 32/9 = -x/5, X = 80/7",11.1
80, ľ B)0.136eV, 13 .6eV, 0.136eV, 1 .36eV, 0.00136eV, None of  these,The Energy required to remove an electron in a hydrogen atom from state is, :The energy necessary to remove the electron from n = 10 the state in hydrogen atom will be 0.136eV,11.1
81, ľ A)10-9m, 10-9m, 10-8m, 10-12m, 10-10m, None of  these,One nanometer is equal to _____," :The nanometre or nanometer is a unit of length in the metric system, equal to one billionth of a metre ( 0.000000001 m or 10-9m)",11.1
82, ľ D)Plasma, Solid, Liquid, Gas, Plasma, None of  these,The fourth state of matter is known as," :Plasma is one of the four fundamental states of matter, the others being solid, liquid, and gas. A plasma has properties unlike those of the other states.",11.1
83, ľ C)Geothermal Energy, Electrical energy, Heat Energy, Geothermal Energy, Solar Energy, None of  these,Which type of energy is oldest energy to man ?, :Geothermal energy is thermal energy generated and stored in the Earth. Thermal energy is the energy that determines the temperature of matter.,11.1
84, ľ B)Electrical Energy, Heat Energy, Electrical Energy, Sound Energy, Electronic Energy, None of  these,In a photocell light energy is converted into _____., :Photocell is a solid-state electronic device that converts light into electrical energy by producing a voltage or that uses light to regulate the flow of current,11.1
85, ľ : A)Velocity ľ time, Velocity ľ time, Velocity ľ Frequency, Frequency ľ Amplitude, Speed ľ Voltage, None of  these,The slope of _____ graph represents Acceleration, :The slope of Velocity ľ time graph represents Acceleration. The velocity vs. time graphs for the two types of motion ľ constant velocity and changing velocity Acceleration  is the rate of change of velocity of an object,11.1
86, ľ C)Regulator, Resistance, Transistor, Regulator, Accelerator, None of  these,Which is used to change the speed of the fan ?, :Regulator is used  to regulate/control the speed of the fan and provide a convenient environment for the residents.,11.1
87, ľ D)Increases, None of these, Constant, Decreases, Increases, All of  these,The temperature of metal wire _____..when the current is passes through it, :The temperature of metal wire increases when the current is passes through it,11.1
88, ľ D)Amplitude, Refractive Index, Reflective Index, Frequency, Amplitude, None of  these,"When a light wave is reflected from a mirror, there is a change in its _____."," :When a light wave is reflected from a mirror, there is a change in its amplitude because reflected wave is reflected in phase with the incoming wave",11.1
89, ľ A)11km/sec, 11km/sec, 14km/sec, 22km/sec, 35km/sec, None of  these,What is the maximum escape velocity of rocket to be launched into Space ?," :escape velocity is the minimum speed needed for an object to ôbreak freeö from the gravitational attraction of a massive body. The escape velocity from Earth is about 40,270 km/h (25,020 mph). The maximum escape velocity of rocket to be launched into Space is 11km/sec",11.1
90, ľ B)Vaccum,Gas,Vaccum,Liquid,Solid,None of these,Sound canĺt pass through _____.., :Sound cannot travel through vaccum because there is no air molecules to vibrate sound,11.1
91, ľ C)Momentum,Velocity,Acceleration,Momentum,Angular Velocity,None of these,The dimension of which of the following is same as that of Impulse ?," :Impulse has the same units and dimensions (M L T-1) as momentum. In the International System of Units, these are kgĚm/s = NĚs.",11.1
92, ľ D)Nuclear Force,Electromagnetic Force,Gravitational Force,Magnetic Force,Nuclear Force,None of these,The strongest Force in nature is _____., :Strongest Force ľ Nuclear Force Weakest Force ľ Gravitational Force,11.1
93, ľ A)0.1s,0.1s,0.001s,0.10s,0.0001s,None of these,An image formed on the Retina of an eye persists for about _____. after the removal of stimulus, :An image formed on the Retina of an eye persists for about 0.1s after the removal of stimulus,11.1
94, ľ B)Flint Glass,Pyrex Glass,Flint Glass,Lead Crystal Glass,Laminated Glass,None of these,Lens is made up of which type of glass ?, :The currently known flint glasses have refractive indices ranging between 1 .45 and B)00. A concave lens of flint glass is commonly combined with a convex lens,11.1
95, ľ C)Zero,Infinite,Minimum,Zero,Maximum,None of these,Magnetism at the centre of the bar magnet is _____.., :The density of the field lines on the picture is maximized at the ôpolesö of the bar magnet and minimized at the center,11.1
96, ľ A)1000 cal,1000 cal,100 cal,1200 cal,D)18 joule,None of these,1 kcal = ?, :1 kcal = 1000 cal,11.1
97, ľ C)Reflection,Total Internal Reflection,Scattering,Reflection,Refraction,None of these,A sunset and sunrises arises due to _____," :The sunlight takes on an orange or red cast, which we can see reflected from clouds or other objects as a colorful sunset (or sunrisE).",11.1
98, ľ C)12V,18V,20V,12V,10V,None of these,The Voltage in a motor car battery is," :Most lead acid batteries that cars use is of 12V(12 .6V to be precise, 2 .1V per cell",11.1
99, ľ B)Ultarsonic,Supersonic,Ultarsonic,Infrasonic,Ultrsound,None of these,The sound produced by the bat is," :Humans can only hear sound up to about 16KHz (thatĺs 16,000 cycles per seconD). Bats emit sounds at typically 2 or 3 times higher pitch than we can hear.",11.1
